SPBP4H10.15	ACO2(C)
SPAC3G9.16c	TRAPPC1
SPAC3G9.17	NONE
SPAC3H1.01c	ORC3
SPAC3H1.02c	PITRM1
SPAC3H1.03	SAP30BP
SPAC3H1.04c	NONE
SPAC3H1.05	ZMPSTE24
SPAC3H1.06c	NONE
SPAC3H1.07	ARG1|ARG2
SPAC3H1.08c	CCDC90B|MCUR1
SPAC3H1.09c	SLC36A2|SLC36A3|SLC36A4
SPAC3H1.10	NONE
SPAC3H1.11	NONE
SPAC3H1.12c	NONE
SPAC3H1.13	STK16
SPAC3H1.14	GID4
SPAC3H5.04	AAR2
SPAC3H5.05c	RPS14
SPAC3H5.06c	POLA1
SPAC3H5.07	RPL7
SPAC3H5.08c	WDR44
SPAC3H5.09c	BLTP2
SPAC3H5.10	RPL32
SPAC3H5.11	NADK
SPAC3H5.12c	RPL5
SPAC3H5.13	NOPCHAP1
SPAC3H8.02	MOSPD2
SPAC3H8.03	MRPL49
SPAC3H8.04	ATOSA
SPAC3H8.05c	NONE
SPAC3H8.06	NONE
SPAC3H8.07c	VBP1
SPAC3H8.08c	NONE
SPAC3H8.09c	HNRNPC|HNRNPCL1|HNRNPCL2|HNRNPCL3|HNRNPCL4|RALY|RALYL
SPAC3H8.10	SEC14L1|SEC14L2|SEC14L3|SEC14L4|SEC14L5
SPAC458.02c	NONE
SPAC458.03	TELO2
SPAC458.04c	DYNC1LI1|DYNC1LI2
SPAC458.05	PIK3C3
SPAC458.06	WDR45|WDR45B
SPAC458.07	GTF2E1
SPAC4A8.02c	NONE
SPAC4A8.03c	PPM1K
SPAC4A8.04	PCSK9
SPAC4A8.05c	MYH1|MYH10|MYH11|MYH13|MYH14|MYH15|MYH2|MYH3|MYH4|MYH6|MYH7|MYH7B|MYH8|MYH9
SPAC4A8.06c	NONE
SPAC4A8.07c	SPHK1|SPHK2
SPAC4A8.08c	VARS2
SPAC4A8.09c	SRRM2
SPAC4A8.10	NONE
SPAC4A8.11c	NONE
SPAC4A8.12c	PPP1R7
SPAC4A8.13c	PSMB11|PSMB5|PSMB8
SPAC4A8.14	PRPSAP1|PRPSAP2
SPAC4A8.15c	PFN4
SPAC4A8.16c	EIF3C|EIF3CL
SPAC4C5.01	PUDP
SPAC4C5.02c	RAB6A|RAB6B|RAB6C
SPAC4C5.03	NONE
SPAC4C5.04	SAE1
SPAC4D7.01c	ARFGEF1|ARFGEF2
SPAC4D7.02c	GDPD1|GDPD3
SPAC4D7.03	FBXO24|FBXW2|FBXW7
SPAC4D7.04c	DHDDS
SPAC4D7.05	EIF3I
SPAC4D7.06c	NONE
SPAC4D7.07c	NONE
SPAC4D7.08c	PPAT
SPAC4D7.09	EIF2B3
SPAC4D7.10c	SUPT20H|SUPT20HL1|SUPT20HL2
SPAC4D7.11	NONE
SPAC4D7.12c	GPN3
SPAC4D7.13	PRPF40A|PRPF40B
SPAC4D7.14	SVIP
SPAC4D7.15	GEMIN6
SPAC4F10.02	DNPEP
SPAC4F10.03c	FTSJ1
SPAC4F10.04	PTPA
SPAC4F10.05c	LIPT2
SPAC4F10.06	SRFBP1
SPAC4F10.07c	ATG13
SPAC4F10.08	NONE
SPAC4F10.09c	CEBPZ
SPAC4F10.10c	NONE
SPAC4F10.11	SEPTIN1|SEPTIN2|SEPTIN4|SEPTIN5|SEPTIN7
SPAC4F10.12	CENPL
SPAC4F10.13c	GIGYF1|GIGYF2
SPAC4F10.14c	BTF3
SPAC4F10.15c	WAS|WASL
SPAC4F10.16c	ATP10A|ATP10B|ATP10D
SPAC4F10.17	NONE
SPAC4F10.18	NUP37
SPAC4F10.19c	ZNHIT3
SPAC4F10.20	GLRX|GLRX2
SPAC4F10.22	CMC4
SPAC4F8.01	CHMP2A|CHMP2B
SPAC4F8.02c	MRPL24
SPAC4F8.03	SBDS
SPAC4F8.04	RPF1
SPAC4F8.05c	MRPL40
SPAC4F8.06	MRPS12
SPAC4F8.07c	GCK|HK1|HK2|HK3
SPAC4F8.08	NONE
SPAC4F8.10c	TAGLN|TAGLN2|TAGLN3
SPAC4F8.11	WDR24
SPAC4F8.12c	PRPF8
SPAC4F8.13c	IQGAP1|IQGAP2
SPAC4F8.14c	HMGCS1|HMGCS2
SPAC4F8.15	DDHD1|DDHD2|SEC23IP
SPAC4G8.02c	SEC61G
SPAC4G8.03c	NONE
SPAC4G8.04	NONE
SPAC4G8.05	NONE
SPAC4G8.06c	TYW2
SPAC4G8.07c	TRMT2A|TRMT2B
SPAC4G8.08	SLC25A28|SLC25A37
SPAC4G8.09	LARS2
SPAC4G8.10	GOSR1
SPAC4G8.11c	NONE
SPAC4G8.12c	PIGZ
SPAC4G8.13c	NONE
SPAC4G9.02	RNASEH2A
SPAC4G9.03	AK2
SPAC4G9.04c	PCF11
SPAC4G9.05	NONE
SPAC4G9.06c	CDY1|CDY2A|CDYL2
SPAC4G9.07	NONE
SPAC4G9.08c	POLR3B
SPAC4G9.09c	NAGS
SPAC4G9.10	OTC
SPAC4G9.11c	TFAM
SPAC4G9.12	IDNK
SPAC4G9.13c	VPS26A|VPS26B
SPAC4G9.14	PXMP2
SPAC4G9.15	HSD17B12|HSD17B3|HSDL1
SPAC4G9.16c	RPL9
SPAC4G9.17c	MRPS5
SPAC4G9.19	NONE
SPAC4G9.20c	SLC25A29|SLC25A45|SLC25A47
SPAC4G9.22	NONE
SPAC4H3.01	NONE
SPAC4H3.02c	NONE
SPAC4H3.03c	NONE
SPAC4H3.04c	MEMO1
SPAC4H3.05	NONE
SPAC4H3.06	REX1BD
SPAC4H3.07c	TSTD1
SPAC4H3.08	DCXR
SPAC4H3.09	NDUFAB1
SPAC4H3.10c	PKLR|PKM
SPAC4H3.11c	CEP57|CEP57L1
SPAC4H3.13	CTAG1A|CTAG2|LAGE3
SPAC4H3.14c	NONE
SPAC4H3.16	NONE
SPAC4H3.17	NONE
SPAC513.01c	EEF2
SPAC513.02	NONE
SPAC513.03	NONE
SPAC513.04	NONE
SPAC513.05	MAN2C1
SPAC513.06c	DHDH
SPAC513.07	NONE
SPAC521.02	NONE
SPAC521.03	DHRS7|DHRS7B|DHRS7C
SPAC521.04c	NONE
SPAC521.05	RPS8
SPAC56E4.02c	ALG13
SPAC56E4.03	AADAT
SPAC56E4.04c	ACACA|ACACB
SPAC56E4.05	TMEM208
SPAC56E4.06c	GGT1|GGT3P|GGT5|GGTLC1|GGTLC2|GGTLC3
SPAC56E4.07	NONE
SPAC56F8.02	DIP2A|DIP2B|DIP2C
SPAC56F8.03	EIF5B
SPAC56F8.04c	COQ2
SPAC56F8.05c	NONE
SPAC56F8.06c	ALG10|ALG10B
SPAC56F8.07	TMEM97
SPAC56F8.08	DDI1|DDI2
SPAC56F8.09	RRP8
SPAC56F8.10	MTHFR
SPAC56F8.11	SPCS3
SPAC56F8.12	NONE
SPAC56F8.13	NONE
SPAC56F8.14c	NONE
SPAC56F8.15	NONE
SPAC56F8.16	NONE
SPAC57A10.02	BRSK1|BRSK2
SPAC57A10.03	PPIL1
SPAC57A10.04	NONE
SPAC57A10.05c	FBXO24|FBXW2|FBXW7
SPAC57A10.06	NONE
SPAC57A10.07	NONE
SPAC57A10.08c	NONE
SPAC57A10.09c	HMGB2|HMGB3
SPAC57A10.10c	SSB
SPAC57A10.11c	CHCHD4
SPAC57A10.12c	DHODH
SPAC57A10.14	ATXN7L3
SPAC57A7.04c	PABPC1|PABPC3|PABPC4
SPAC57A7.05	NONE
SPAC57A7.06	UTP14A|UTP14C
SPAC57A7.07c	BHMT|BHMT2|MTR
SPAC57A7.08	NONE
SPAC57A7.09	RNF13
SPAC57A7.10c	COPG1|COPG2
SPAC57A7.11	RPTOR
SPAC57A7.12	HSPA14
SPAC57A7.13	RBM10|RBM5|RBM6
SPAC57A7.15c	NONE
SPAC589.02c	MED13
SPAC589.03c	CEBPZ
SPAC589.04	MTX2
SPAC589.05c	QNG1
SPAC589.06c	NONE
SPAC589.07c	WIPI1|WIPI2
SPAC589.08c	NONE
SPAC589.09	MOSPD2
SPAC589.10c	RPS27A
SPAC589.11	MRPL58
SPAC589.12	CWH43
SPAC5D6.01	RPS15A
SPAC5D6.02c	NONE
SPAC5D6.04	NONE
SPAC5D6.05	MED18
SPAC5D6.06c	ALG14
SPAC5D6.07c	SNX14
SPAC5D6.08c	NONE
SPAC5D6.09c	NONE
SPAC5D6.10c	NONE
SPAC5D6.12	NONE
SPAC5D6.13	GOLPH3|GOLPH3L
SPAC5H10.01	DGLUCY
SPAC5H10.02c	NONE
SPAC5H10.03	NONE
SPAC5H10.04	NONE
SPAC5H10.05c	NONE
SPAC5H10.06c	ADHFE1
SPAC5H10.07	NONE
SPAC5H10.08c	NONE
SPAC5H10.09c	NONE
SPAC5H10.10	NONE
SPAC5H10.11	NONE
SPAC5H10.12c	GYG1|GYG2|GYG2P1
SPAC5H10.13c	NONE
SPAC607.02c	CCDC137
SPAC607.03c	SNU13
SPAC607.04	IPMK
SPAC607.05	PSMD13
SPAC607.06c	NONE
SPAC607.07c	NONE
SPAC607.08c	TMCO4
SPAC607.09c	CLN3
SPAC607.10	NONE
SPAC630.03	ACTR3|ACTR3B|ACTR3C
SPAC630.04c	NONE
SPAC630.05	TBC1D16
SPAC630.06c	C12orf43
SPAC630.07c	NONE
SPAC630.08c	MSMO1
SPAC630.09c	NONE
SPAC630.10	SAMTOR
SPAC630.11	LEPROT|LEPROTL1
SPAC630.12	MPPE1
SPAC630.13c	TSC2
SPAC630.14c	NONE
SPAC630.15	NONE
SPAC631.01c	CAPZB
SPAC631.02	BRD4
SPAC637.03	NONE
SPAC637.04	TTC7A|TTC7B
SPAC637.05c	ATP6V1B1|ATP6V1B2
SPAC637.06	NONE
SPAC637.07	EIF3D
SPAC637.08	NUBP1
SPAC637.09	REXO5
SPAC637.10c	PSMD4
SPAC637.11	SUPV3L1
SPAC637.12c	KAT5
SPAC637.13c	NONE
SPAC644.05c	DUT
SPAC644.06c	BRSK1|BRSK2
SPAC644.07	BCS1L
SPAC644.08	ENOPH1
SPAC644.09	PLPBP
SPAC644.10	MED11
SPAC644.11c	PDK1|PDK2|PDK3|PDK4
SPAC644.12	CDC5L
SPAC644.13c	YIPF6
SPAC644.14c	RAD51
SPAC644.15	RPLP1
SPAC644.16	CSTF2|CSTF2T
SPAC644.17c	MRPL3
SPAC644.18c	TRAPPC3|TRAPPC3L
SPAC652.01	BLCAP
SPAC664.01c	CBX1|CBX3|CBX5
SPAC664.02c	ACTR8
SPAC664.03	PAF1
SPAC664.04c	RPS16
SPAC664.05	RPL13
SPAC664.06	RPL7L1
SPAC664.07c	RAD9A|RAD9B
SPAC664.08c	AATF
SPAC664.09	GGT1|GGT3P|GGT5|GGTLC1|GGTLC2|GGTLC3
SPAC664.10	KIFC1
SPAC664.11	HSPA9
SPAC664.12c	SDHAF1
SPAC664.13	NONE
SPAC664.14	RHAG|RHBG|RHCE|RHCG|RHD
SPAC664.15	WDR37
SPAC683.02c	ZCCHC9
SPAC683.03	NONE
SPAC688.02c	NSL1
SPAC688.03c	AMMECR1|AMMECR1L
SPAC688.04c	NONE
SPAC688.06c	SLX4
SPAC688.07c	NONE
SPAC688.08	MED12|MED12L
SPAC688.09	SLC25A33|SLC25A36
SPAC688.10	REV3L
SPAC688.11	HIP1|HIP1R
SPAC688.12c	NONE
SPAC688.13	TATDN1
SPAC688.14	SETD6
SPAC688.16	TMEM254
SPAC694.02	DDX60|DDX60L
SPAC694.03	NONE
SPAC694.04c	MYG1
SPAC694.05c	RPS25
SPAC694.06c	CLSPN
SPAC6B12.02c	NONE
SPAC6B12.03c	PRR5|PRR5L
SPAC6B12.04c	KYAT1|KYAT3
SPAC6B12.05c	INO80B
SPAC6B12.06c	NGRN
SPAC6B12.07c	NONE
SPAC6B12.08	DNAJC21
SPAC6B12.09	TRMT10A|TRMT10B
SPAC6B12.10c	PRIM1
SPAC6B12.11	RECQL4
SPAC6B12.12	TOMM70
SPAC6B12.13	PPP1R11
SPAC6B12.14c	HAPSTR1
SPAC6B12.15	RACK1
SPAC6B12.16	NONE
SPAC6B12.18	GON7
SPAC6B12.19	NONE
SPAC6C3.02c	CHCHD10|CHCHD2|CHCHD2P9
SPAC6C3.03c	NONE
SPAC6C3.04	CS
SPAC6C3.05	NONE
SPAC6C3.06c	ATP9A|ATP9B
SPAC6C3.07	NONE
SPAC6C3.08	PSMD10
SPAC6C3.09	RPP40
SPAC6F12.02	NONE
SPAC6F12.03c	STX8
SPAC6F12.04	CACFD1
SPAC6F12.06	ARHGDIA|ARHGDIB
SPAC6F12.07	TOMM20|TOMM20L
SPAC6F12.08c	EXOC8
SPAC6F12.09	NONE
SPAC6F12.10c	PFAS
SPAC6F12.11c	GTF3C5
SPAC6F12.12	PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E
SPAC6F12.13c	FDPS
SPAC6F12.14	CDC23
SPAC6F12.15c	CDC16
SPAC6F12.16c	MTREX
SPAC6F12.17	CSTF3
SPAC6F6.01	NALCN
SPAC6F6.02c	NONE
SPAC6F6.03c	GNL2
SPAC6F6.04c	MFSD11
SPAC6F6.05	DAD1
SPAC6F6.06c	NONE
SPAC6F6.07c	RPS13
SPAC6F6.08c	NONE
SPAC6F6.09	MEAF6
SPAC6F6.10c	ARPC2
SPAC6F6.11c	PDXK
SPAC6F6.12	SNX30|SNX4|SNX7
SPAC6F6.13c	TMCO4
SPAC6F6.15	RAB5A|RAB5B|RAB5C
SPAC6F6.16c	ACD
SPAC6F6.17	RIF1
SPAC6F6.19	GPATCH11
SPAC6G10.02c	RABEPK
SPAC6G10.03c	ABHD4|ABHD5
SPAC6G10.04c	PSMA1
SPAC6G10.05c	TRAPPC9
SPAC6G10.06	NONE
SPAC6G10.07	NCBP1
SPAC6G10.08	IDH1|IDH2
SPAC6G10.09	MOGS
SPAC6G10.10c	C1orf35
SPAC6G10.11c	RPS27A
SPAC6G10.12c	NONE
SPAC6G9.01c	NONE
SPAC6G9.02c	NOP9
SPAC6G9.03c	NONE
SPAC6G9.04	PSD|PSD2|PSD3|PSD4
SPAC6G9.05	NUDT8
SPAC6G9.06c	PCNT
SPAC6G9.07c	ARPC4
SPAC6G9.08	USP14
SPAC6G9.09c	RPL24
SPAC6G9.10c	SETX
SPAC6G9.11	VAMP4
SPAC6G9.12	NONE
SPAC6G9.13c	NONE
SPAC6G9.14	NONE
SPAC6G9.15c	AFF1|AFF2|AFF3|AFF4
SPAC6G9.16c	XRCC4
SPAC732.01	ATP6V0C
SPAC732.02c	PFKFB1|PFKFB2|PFKFB3|PFKFB4
SPAC750.01	NONE
SPAC750.02c	NONE
SPAC750.03c	NONE
SPAC750.04c	NONE
SPAC750.05c	NONE
SPAC750.06c	NONE
SPAC750.07c	NONE
SPAC750.08c	ME1|ME2|ME3
SPAC767.01c	DNM1|DNM1L
SPAC7D4.02c	SH3RF1|SH3RF2|SH3RF3
SPAC7D4.03c	NONE
SPAC7D4.04	RB1CC1
SPAC7D4.05	HDHD3
SPAC7D4.06c	ALG3
SPAC7D4.07c	TXN
SPAC7D4.08	NONE
SPAC7D4.09c	SRD5A3
SPAC7D4.10	ATP6V1H
SPAC7D4.11c	NBAS
SPAC7D4.12c	NONE
SPAC7D4.13c	NONE
SPAC7D4.14c	NONE
SPAC7D4.15c	OST4
SPAC806.03c	RPS26
SPAC806.04c	DCPH1
SPAC806.05	NONE
SPAC806.06c	NMNAT1|NMNAT2|NMNAT3
SPAC806.07	NME2|NME2P1|NME3|NME4
SPAC806.08c	TUBGCP5
SPAC806.11	NONE
SPAC821.03c	NONE
SPAC821.04c	NONE
SPAC821.05	EIF3H
SPAC821.06	SEPTIN12|SEPTIN9
SPAC821.07c	NONE
SPAC821.08c	CDC20
SPAC821.09	NONE
SPAC821.10c	SOD1
SPAC821.11	ALDH18A1
SPAC821.12	STK38|STK38L
SPAC821.13c	NONE
SPAC823.03	DYRK1A|DYRK1B
SPAC823.04	RRP36
SPAC823.05c	STX16
SPAC823.06	TAF3
SPAC823.07	PGAP3
SPAC823.08c	DDX47
SPAC823.09c	TASP1
SPAC823.10c	SLC25A38
SPAC823.11	SGPP1|SGPP2
SPAC823.12	VPS11
SPAC823.13c	CCDC51
SPAC823.14	NONE
SPAC823.15	PPP2CA|PPP2CB
SPAC823.16c	WIPI1|WIPI2
SPAC823.17	TOMM6
SPAC824.02	PGAP1
SPAC824.03c	NONE
SPAC824.04	WDR82
SPAC824.05	VPS16
SPAC824.06	DNAJC15|DNAJC19
SPAC824.07	HAGH
SPAC824.08	ENTPD5|ENTPD6
SPAC824.09c	SMAP1|SMAP2
SPAC869.01	NONE
SPAC869.02c	NONE
SPAC869.03c	NONE
SPAC869.04	NONE
SPAC869.05c	SLC26A1|SLC26A2|SLC26A3|SLC26A4|SLC26A5|SLC26A6|SLC26A7|SLC26A8|SLC26A9
SPAC869.06c	NONE
SPAC869.07c	GLA|NAGA
SPAC869.08	PCMT1
SPAC869.09	NONE
SPAC869.10c	SLC7A13|SLC7A6|SLC7A8
SPAC869.11	SLC7A1|SLC7A14|SLC7A2|SLC7A3|SLC7A4
SPAC890.02c	TACC1|TACC2|TACC3
SPAC890.03	NONE
SPAC890.04c	WDR12
SPAC890.05	PINX1
SPAC890.06	NUP155
SPAC890.07c	PRMT1|PRMT8
SPAC890.08	RPL31
SPAC8C9.03	PRKAR2A|PRKAR2B
SPAC8C9.04	NONE
SPAC8C9.05	DTD1
SPAC8C9.06c	NONE
SPAC8C9.07	CCDC59
SPAC8C9.08	RPS5
SPAC8C9.09c	NONE
SPAC8C9.10c	SURF6
SPAC8C9.11	BOLA2|BOLA2B
SPAC8C9.12c	SLC25A28|SLC25A37
SPAC8C9.14	HSF1|HSF2
SPAC8C9.15c	EIF2B5
SPAC8C9.16c	NCOA7|OXR1|TLDC2
SPAC8C9.17c	NONE
SPAC8C9.19	NONE
SPAC8E11.01c	NONE
SPAC8E11.02c	YWHAB|YWHAE|YWHAG|YWHAH|YWHAQ|YWHAZ
SPAC8E11.03c	DMC1
SPAC8E11.04c	LYPLA1|LYPLA2|LYPLAL1
SPAC8E11.05c	FEZ1|FEZ2
SPAC8E11.06	NONE
SPAC8E11.07c	TBCA
SPAC8E11.08c	NONE
SPAC8E11.10	NONE
SPAC8E11.12	NONE
SPAC8F11.02c	DPH3
SPAC8F11.03	MSH3
SPAC8F11.04	RSL1D1
SPAC8F11.05c	NONE
SPAC8F11.06	CLCC1
SPAC8F11.07c	NONE
SPAC8F11.08c	NONE
SPAC8F11.09c	METTL21C
SPAC8F11.10c	NONE
SPAC9.02c	AANAT
SPAC9.03c	SNRNP200
SPAC9.05	FANCM
SPAC9.06c	APIP
SPAC9.07c	DRG1
SPAC9.08c	SRD5A1
SPAC9.09	NONE
SPAC9.10	NONE
SPAC9.11	NONE
SPAC9.12c	ATPAF2
SPAC9.13c	YJU2
SPAC922.03	NONE
SPAC922.04	NONE
SPAC922.05c	MFSD11
SPAC922.06	NONE
SPAC922.07c	ALDH1A1|ALDH1A2|ALDH1A3|ALDH1B1|ALDH2
SPAC922.09	NONE
SPAC926.02	NONE
SPAC926.03	MYL10|MYL11|MYL12A|MYL12B|MYL2|MYL5|MYL7|MYL9
SPAC926.04c	HSP90AA1|HSP90AB1
SPAC926.05c	DNAJC24
SPAC926.06c	NONE
SPAC926.07c	DYNLL1|DYNLL2
SPAC926.08c	RPF2
SPAC926.09c	NONE
SPAC926.10	NONE
SPAC959.02	NAPA|NAPB
SPAC959.03c	WDR46
SPAC959.04c	NONE
SPAC959.05c	NONE
SPAC959.06c	NONE
SPAC959.07	RPS4X|RPS4Y1|RPS4Y2
SPAC959.08	RPL21
SPAC959.09c	ANAPC5
SPAC959.10	TSEN15
SPAC959.11	NONE
SPAC977.01	NONE
SPAC977.02	NONE
SPAC977.03	NONE
SPAC977.04	NONE
SPAC977.05c	NONE
SPAC977.06	NONE
SPAC977.07c	NONE
SPAC977.08	BDH1|HSD11B2|HSD17B2
SPAC977.09c	PLA2G4A|PLA2G4B|PLA2G4C|PLA2G4D|PLA2G4E|PLA2G4F
SPAC977.10	NONE
SPAC977.11	NONE
SPAC977.12	ASPG
SPAC977.14c	KCNAB1|KCNAB2|KCNAB3
SPAC977.15	CMBL
SPAC977.16c	TKFC
SPAC977.17	AQP10|AQP3|AQP7|AQP9
SPAC977.18	NONE
SPAC9E9.01	NONE
SPAC9E9.02	NONE
SPAC9E9.03	NONE
SPAC9E9.04	BCAP29|BCAP31
SPAC9E9.05	CDCA5
SPAC9E9.06c	THNSL1
SPAC9E9.07c	RAB10|RAB13|RAB8A|RAB8B
SPAC9E9.08	ATRIP
SPAC9E9.09c	ALDH1A1|ALDH1A2|ALDH1A3|ALDH1B1|ALDH2
SPAC9E9.10c	NONE
SPAC9E9.11	AKR7A2|AKR7A3|AKR7L
SPAC9E9.12c	ABCC1|ABCC2|ABCC3|ABCC6
SPAC9E9.13	PTGES3
SPAC9E9.14	CHMP3
SPAC9E9.15	NDUFAF1
SPAC9E9.17c	NONE
SPAC9G1.02	MAP3K4
SPAC9G1.03c	RPL30
SPAC9G1.04	OXA1L
SPAC9G1.05	WDR1
SPAC9G1.06c	LASP1|NEB|NEBL|NRAP
SPAC9G1.07	NONE
SPAC9G1.08c	LYPLA1|LYPLA2|LYPLAL1
SPAC9G1.09	STK24|STK25|STK26
SPAC9G1.10c	INPP5J|OCRL
SPAC9G1.11c	NONE
SPAC9G1.12	TRMT61A
SPAC9G1.13c	DMAP1
SPAC9G1.14	NONE
SPAC9G1.15c	MZT1
SPACUNK12.02c	NONE
SPACUNK4.06c	POLR2G
SPACUNK4.07c	ATP13A1
SPACUNK4.08	DPP10|DPP4|DPP6|FAP
SPACUNK4.09	NONE
SPACUNK4.10	GRHPR
SPACUNK4.11c	MPHOSPH6
SPACUNK4.12c	IDE
SPACUNK4.13c	OLA1
SPACUNK4.14	MDC1
SPACUNK4.15	NONE
SPACUNK4.16c	NONE
SPACUNK4.17	DHDH
SPACUNK4.19	NONE
SPACUNK4.20	NONE
SPAP11E10.01	CRYM
SPAP11E10.02c	NONE
SPAP14E8.02	NONE
SPAP14E8.03	GOSR2
SPAP14E8.04	OMA1
SPAP14E8.05c	TMEM14A|TMEM14B|TMEM14C
SPAP19A11.05c	MRPL27
SPAP27G11.02	TTC19
SPAP27G11.03	CDC123
SPAP27G11.04c	ADAT3
SPAP27G11.05c	VPS41
SPAP27G11.06c	AP1S1|AP1S2|AP1S3
SPAP27G11.07c	TP53RK
SPAP27G11.08c	MEIOB
SPAP27G11.09c	NONE
SPAP27G11.10c	NUP188
SPAP27G11.11c	NONE
SPAP27G11.12	HID1
SPAP27G11.13c	NOP10
SPAP27G11.14c	NONE
SPAP27G11.15	SLX1A|SLX1B
SPAP27G11.16	NONE
SPAP32A8.02	NONE
SPAP32A8.03c	RNF126
SPAP4C9.02	MMGT1
SPAP7G5.02c	GMPS
SPAP7G5.03	NONE
SPAP7G5.04c	AASDH
SPAP7G5.05	RPL10|RPL10L
SPAP7G5.06	SLC7A1|SLC7A14|SLC7A2|SLC7A3|SLC7A4
SPAP8A3.02c	ALKBH7
SPAP8A3.03	SLC39A13|SLC39A7
SPAP8A3.04c	NONE
SPAP8A3.05	NONE
SPAP8A3.06	U2AF1|U2AF1L4
SPAP8A3.07c	NONE
SPAP8A3.08	MYL1|MYL3|MYL4|MYL6|MYL6B
SPAP8A3.09c	PPP2R1A|PPP2R1B
SPAP8A3.10	PRELID1
SPAP8A3.11c	GTPBP10
SPAP8A3.12c	TPP2
SPAP8A3.13c	GID4
SPAP8A3.14c	NONE
SPAPB15E9.01c	NONE
SPAPB15E9.02c	NONE
SPAPB15E9.06	NONE
SPAPB17E12.02	GEMIN2
SPAPB17E12.03	PEX12
SPAPB17E12.04c	COPS2
SPAPB17E12.05	RPL37
SPAPB17E12.06	ZWINT
SPAPB17E12.07c	TSEN2
SPAPB17E12.08	NONE
SPAPB17E12.09	NONE
SPAPB17E12.10c	MRM2
SPAPB17E12.11	MAGT1|TUSC3
SPAPB17E12.12c	SLC25A42
SPAPB17E12.13	RPL18
SPAPB17E12.14c	PFKFB1|PFKFB2|PFKFB3|PFKFB4
SPAPB18E9.01	TRMT5
SPAPB18E9.02c	MASTL
SPAPB18E9.04c	NONE
SPAPB18E9.05c	NONE
SPAPB1A10.02	HJURP
SPAPB1A10.03	NXT1|NXT2
SPAPB1A10.04c	FNTA
SPAPB1A10.05	NONE
SPAPB1A10.06c	DHX37
SPAPB1A10.07c	SERINC1|SERINC2|SERINC3|SERINC4|SERINC5
SPAPB1A10.08	NONE
SPAPB1A10.09	PRC1
SPAPB1A10.10c	RAB7A
SPAPB1A10.11c	EARS2
SPAPB1A10.12c	NONE
SPAPB1A10.13	NONE
SPAPB1A10.14	NONE
SPAPB1A10.15	ARV1
SPAPB1A10.16	NONE
SPAPB1A11.01	NONE
SPAPB1A11.02	AADAC|AADACL2|AADACL3|AADACL4|NCEH1
SPAPB1A11.03	NONE
SPAPB1A11.04c	NONE
SPAPB1A11.06	NONE
SPAPB1E7.01c	NONE
SPAPB1E7.02c	WDHD1
SPAPB1E7.03	POLR3C
SPAPB1E7.04c	NONE
SPAPB1E7.05	GPCPD1
SPAPB1E7.06c	EME1
SPAPB1E7.07	NONE
SPAPB1E7.08c	SV2A|SV2B|SV2C
SPAPB1E7.09	POMT2
SPAPB1E7.10	CRCP
SPAPB1E7.11c	NONE
SPAPB1E7.12	RPS6
SPAPB1E7.14	NONE
SPAPB21F2.02	DOP1A|DOP1B
SPAPB21F2.03	SLX9
SPAPB24D3.01	NONE
SPAPB24D3.02c	NONE
SPAPB24D3.03	AGMAT
SPAPB24D3.04c	NONE
SPAPB24D3.06c	NONE
SPAPB24D3.07c	NONE
SPAPB24D3.08c	PTGR1|PTGR2
SPAPB24D3.09c	ABCG1|ABCG2|ABCG4|ABCG5|ABCG8
SPAPB24D3.10c	GAA|MGAM|SI
SPAPB2B4.01c	PIGL
SPAPB2B4.02	GLRX5
SPAPB2B4.03	CCNB1|CCNB2|CCNB3
SPAPB2B4.04c	ATP2B1|ATP2B2|ATP2B3|ATP2B4
SPAPB2B4.05	ATP6V1C1|ATP6V1C2
SPAPB2B4.06	THEM4|THEM5
SPAPB2B4.07	UBTD1|UBTD2
SPAPB2C8.01	NONE
SPAPB8E5.02c	PSMD12
SPAPB8E5.03	NONE
SPAPB8E5.04c	LY96|NPC2
SPAPB8E5.05	NONE
SPAPB8E5.06c	RPL3|RPL3L
SPAPB8E5.07c	RRP12
SPAPB8E5.08	NONE
SPAPB8E5.09	RUVBL1
SPAPB8E5.10	COXFA4|COXFA4L2|COXFA4L3
SPAPJ691.02	YPEL1|YPEL2|YPEL3|YPEL4
SPAPJ691.03	MICOS10
SPAPJ695.01c	NONE
SPAPJ695.02	NONE
SPAPJ696.01c	SNX1|SNX2
SPAPJ696.02	SH3YL1
SPAPJ698.02c	RPSA
SPAPJ698.03c	SF3B3
SPAPJ760.02c	DBNL
SPAPJ760.03c	NONE
SPAPYUG7.02c	MAPKAP1
SPAPYUG7.03c	ANLN
SPAPYUG7.04c	POLR2I
SPAPYUG7.05	PYCR1|PYCR2|PYCR3
SPAPYUG7.06	DESI1|DESI2
SPAPYUK71.03c	ESYT1|ESYT2|ESYT3
SPBC106.01	TTK
SPBC106.02c	SRXN1
SPBC106.03	NONE
SPBC106.04	AMPD1|AMPD2|AMPD3
SPBC106.05c	ATP5ME
SPBC106.06	CCT4
SPBC106.07c	FAM210A|FAM210B
SPBC106.08c	NONE
SPBC106.09	ANAPC1
SPBC106.10	PRKACA|PRKACB|PRKACG|PRKX
SPBC106.11c	PAFAH2|PLA2G7
SPBC106.12c	ALYREF
SPBC106.13	MAEA
